freq,unit,airpol,src_nfr,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,T,NOX,NFR1A4B1,EU27_2020	456310 	493022 	465161 	477432 	442596 	449114 	484902 	455981 	433725 	422230 	395141 	414352 	396263 	409019 	401642 	405682 	403463 	372175 	398488 	392835 	416819 	366858 	385646 	384481 	332735 	346748 	349370 	349089 	343968 	331967 	328350 	337786 
A,T,NOX,NFR1A4B2,EU27_2020	6803 	8153 	7639 	6616 	6707 	8047 	4371 	8626 	8777 	8317 	9860 	6800 	5309 	6836 	5376 	5396 	5840 	5410 	5461 	6194 	5995 	6148 	6323 	6106 	6142 	6154 	6172 	6241 	6208 	6230 	6157 	6293 
A,T,NOX,NFR1A4C1,EU27_2020	60445 	62623 	60251 	65389 	63562 	60279 	62692 	58550 	55824 	56972 	52048 	52361 	50115 	50956 	52302 	54888 	55822 	57066 	61152 	60643 	62455 	62859 	67077 	69932 	69644 	70645 	72519 	70709 	70628 	69055 	69432 	69037 
A,T,NOX,NFR1A4C2,EU27_2020	655238 	622511 	633999 	659223 	656867 	658779 	669716 	676669 	670743 	662534 	669691 	658676 	645147 	628969 	606322 	582074 	531674 	493447 	467857 	439312 	412037 	393958 	349699 	336096 	319410 	296991 	273310 	258117 	249465 	226959 	219985 	207490 
A,T,NOX,NFR1A4C3,EU27_2020	134891 	139125 	138565 	137979 	139301 	141995 	129670 	124494 	118061 	121260 	126104 	128757 	119156 	114305 	111196 	106299 	99322 	92695 	78502 	84511 	78966 	74422 	68276 	64274 	66063 	60182 	56399 	56481 	54009 	54664 	53397 	53997 
A,T,NOX,NFR1A5A,EU27_2020	28750 	28022 	19007 	15957 	10138 	7904 	8588 	12345 	14312 	12170 	11937 	12947 	13268 	14660 	18464 	16837 	14093 	15493 	15263 	12230 	12716 	15260 	14284 	13615 	12816 	12879 	10883 	12217 	11932 	13220 	11985 	18450 
A,T,NOX,NFR1A5B,EU27_2020	65227 	50479 	48603 	48352 	47646 	49026 	38818 	40210 	39176 	36081 	32082 	27654 	27377 	30597 	36912 	43575 	38489 	36544 	34910 	33644 	29555 	28289 	25708 	26259 	25077 	25279 	23585 	21737 	20198 	21584 	21097 	18646 
A,T,NOX,NFR1A5C,EU27_2020	: 	: 	: 	: 	: 	: 	: 	0 	0 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	1 	1 	1 	1 	1 	1 	1 	1057 	1207 
A,T,NOX,NFR1B1B,EU27_2020	2383 	2229 	2059 	1953 	1792 	1868 	1736 	1713 	1507 	1434 	2110 	1940 	1409 	1549 	1501 	1463 	1387 	1462 	1709 	1327 	1582 	1618 	1208 	923 	818 	787 	686 	658 	681 	697 	606 	643 
A,T,NOX,NFR1B1C,EU27_2020	42 	39 	35 	30 	30 	25 	26 	26 	23 	20 	21 	22 	21 	24 	24 	24 	26 	26 	20 	44 	38 	30 	21 	23 	28 	39 	26 	27 	27 	25 	19 	56 
A,T,NOX,NFR1B2A1,EU27_2020	38 	38 	38 	38 	38 	38 	38 	82 	82 	82 	82 	82 	82 	82 	82 	86 	219 	249 	271 	245 	247 	226 	160 	122 	95 	0 	: 	114 	: 	: 	: 	: 
A,T,NOX,NFR1B2A4,EU27_2020	22578 	20328 	20281 	32199 	25521 	21906 	21494 	20622 	23639 	21294 	18636 	19031 	20970 	21912 	22702 	24830 	22922 	20620 	19133 	22661 	18387 	17833 	16747 	14082 	15456 	15199 	14049 	15857 	14676 	14029 	12093 	13486 
A,T,NOX,NFR1B2B,EU27_2020	71 	77 	78 	78 	82 	84 	91 	90 	88 	93 	88 	89 	100 	93 	86 	84 	82 	75 	68 	64 	56 	52 	47 	43 	40 	38 	35 	32 	28 	27 	23 	23 
A,T,NOX,NFR1B2C,EU27_2020	14178 	12724 	11142 	14938 	12659 	10245 	10643 	9430 	9496 	8870 	8172 	8338 	8058 	7944 	7407 	7049 	7956 	7112 	6978 	7212 	6695 	7069 	7317 	8063 	6965 	8202 	8020 	7914 	7948 	8162 	7167 	4932 
A,T,NOX,NFR1B2D,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	237 	117 	63 	172 	94 	86 	: 
A,T,NOX,NFR2A1,EU27_2020	61989 	56972 	55406 	54271 	57408 	58672 	53798 	55110 	55119 	54683 	53727 	46644 	42243 	43397 	45482 	43806 	44175 	43521 	39422 	32752 	31940 	34329 	32621 	29061 	28749 	28022 	25359 	24769 	24750 	23702 	23948 	24298 
