countries,Year,GDP [Euro],Population,GrDP (Territorial & Low GHG with VOLY) scenario [Euro],GrDP (Territorial & Low GHG with VSL) scenario [Euro],GrDP (Territorial & Central GHG with VOLY) scenario [Euro],GrDP (Territorial & Central GHG with VSL) scenario [Euro],GrDP (Territorial & High GHG with VOLY) scenario [Euro],GrDP (Territorial & High GHG with VSL) scenario [Euro],GrDP (Residential & Low GHG with VOLY) scenario [Euro],GrDP (Residential & Low GHG with VSL) scenario [Euro],GrDP (Residential & Central GHG with VOLY) scenario [Euro],GrDP (Residential & Central GHG with VSL) scenario [Euro],GrDP (Residential & High GHG with VOLY) scenario [Euro],GrDP (Residential & High GHG with VSL) scenario [Euro],GrDP (Footprint & Low GHG with VOLY) scenario [Euro],GrDP (Footprint & Low GHG with VSL) scenario [Euro],GrDP (Footprint & Central GHG with VOLY) scenario [Euro],GrDP (Footprint & Central GHG with VSL) scenario [Euro],GrDP (Footprint & High GHG with VOLY) scenario [Euro],GrDP (Footprint & High GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Low GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Low GHG with VSL) scenario [Euro],GrDP per capita (Territorial & Central GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & Central GHG with VSL) scenario [Euro],GrDP per capita (Territorial & High GHG with VOLY) scenario [Euro],GrDP per capita (Territorial & High GHG with VSL) scenario [Euro],GrDP per capita (Residential & Low GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Low GHG with VSL) scenario [Euro],GrDP per capita (Residential & Central GHG with VOLY) scenario [Euro],GrDP per capita (Residential & Central GHG with VSL) scenario [Euro],GrDP per capita (Residential & High GHG with VOLY) scenario [Euro],GrDP per capita (Residential & High GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Low GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Low GHG with VSL) scenario [Euro],GrDP per capita (Footprint & Central GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & Central GHG with VSL) scenario [Euro],GrDP per capita (Footprint & High GHG with VOLY) scenario [Euro],GrDP per capita (Footprint & High GHG with VSL) scenario [Euro],GDP per capita [Euro]
Malta,1996,3010600000.0,378404.0,2579167816.0,2146412701.0,2462501476.0,2029746361.0,1298615846.0,865860731.0,2563304897.32,2130549782.3200002,2436063278.2,2003308163.2,1166676649.3600001,733921534.3600001,2479981097.32,2047225982.3200002,2297190278.2,1864435163.2,473634249.36000013,40879134.36000013,6815910550.628428,5672278044.101014,6507598957.727719,5363966451.200304,3431823780.932548,2288191274.4051332,6773989961.311192,5630357454.783776,6437731308.865657,5294098802.338242,3083150942.8018737,1939518436.2744584,6553791971.860763,5410159465.333348,6070734659.78161,4927102153.254194,1251662903.5633876,108030397.03597249,7956.046976247609
Malta,1997,3346800000.0,381405.0,2909293689.0,2468405581.0,2791306029.0,2350417921.0,1614238659.0,1173350551.0,2892611409.33,2451723301.33,2763502229.55,2322614121.55,1475484459.8400002,1034596351.8400002,2825094309.33,2384206201.33,2650973729.55,2210085621.55,913913659.8400002,473025551.84000015,7627833114.405947,6471875253.339626,7318483053.447124,6162525192.380802,4232347921.5007668,3076390060.4344463,7584094097.69143,6428136236.62511,7245584692.256263,6089626831.189942,3868550385.6530466,2712592524.5867257,7407072034.530224,6251114173.463903,6950547920.320919,5794590059.254599,2396176399.9947567,1240218538.928436,8774.924293074291
Malta,1998,3581800000.0,384176.0,3142551260.0,2695219843.0,3025638800.0,2578307383.0,1859297830.0,1411966413.0,3126541756.07,2679210339.07,2998956293.45,2551624876.45,1726139416.3600001,1278807999.3600001,2985554056.07,2538222639.07,2763976793.45,2316645376.45,553479816.3600001,106148399.36000013,8179978082.961976,7015586197.471992,7875658031.735455,6711266146.245471,4839703234.9756365,3675311349.4856524,8138305766.289409,6973913880.799425,7806204170.61451,6641812285.124526,4493095394.714923,3328703509.2249393,7771318500.036442,6606926614.546458,7194558726.859565,6030166841.36958,1440693370.6426225,276301485.15263873,9323.330973303902
Malta,1999,3861000000.0,386397.0,3418000054.0,2970215075.0,3298709134.0,2850924155.0,2108640194.0,1660855215.0,3401544934.06,2953759955.06,3271283934.1,2823498955.1,1971775386.88,1523990407.88,3299226634.06,2851441655.06,3100753434.1,2652968455.1,1120746986.88,672962007.8800001,8845824512.095074,7686951697.347547,8537098202.108194,7378225387.360668,5457185728.6676655,4298312913.920139,8803238467.327644,7644365652.580118,8466121460.829147,7307248646.081621,5102977991.236992,3944105176.4894657,8538437498.376022,7379564683.628496,8024786512.576444,6865913697.828917,2900506439.9568324,1741633625.2093058,9992.313604919293
Malta,2000,4412400000.0,388759.0,3987355188.0,3562958652.0,3872074848.0,3447678312.0,2722016218.0,2297619682.0,3971559119.88,3547162583.88,3845748067.8,3421351531.8,2590633048.24,2166236512.24,3836808419.88,3412411883.88,3621163567.8,3196767031.8,1469849448.2399998,1045452912.2399998,10256624767.529497,9164954771.465097,9960090565.105888,8868420569.041489,7001808879.022737,5910138882.958337,10215992735.550817,9124322739.486418,9892370511.808086,8800700515.743687,6663853565.422279,5572183569.35788,9869375165.282347,8777705169.217947,9314674561.360638,8223004565.296238,3780875679.3797693,2689205683.3153696,11349.962315984967
Malta,2001,4565500000.0,391415.0,4103650876.0,3642179446.0,3976660516.0,3515189086.0,2709780496.0,2248309066.0,4090436950.45,3628965520.45,3954637306.75,3493165876.75,2599874194.6,2138402764.6,3959264650.45,3497793220.45,3736016806.75,3274545376.75,1508853794.6000004,1047382364.6000004,10484143111.531239,9305160624.912178,10159703935.7204,8980721449.101337,6923036919.893208,5744054433.274146,10450383737.082125,9271401250.463064,10103438311.638542,8924455825.01948,6642244662.570417,5463262175.951356,10115260402.513956,8936277915.894894,9544899420.691593,8365916934.072532,3854869625.844693,2675887139.225631,11664.09054328526
Malta,2002,4740900000.0,394641.0,4283617236.0,3836070414.0,4154757036.0,3707210214.0,2869223136.0,2421676314.0,4272928037.9700003,3825381215.9700003,4136941705.95,3689394883.95,2780316155.56,2332769333.56,4126944437.9700003,3679397615.9700003,3893635705.95,3446088883.95,1566103355.56,1118556533.56,10854465795.495146,9720405163.173618,10527940675.195938,9393880042.87441,7270463879.830023,6136403247.508495,10827379917.367939,9693319285.04641,10482797544.983923,9348736912.662394,7045178163.343393,5911117531.021866,10457464982.021637,9323404349.700108,9866272652.740086,8732212020.418558,3968425367.7646265,2834364735.443099,12013.196804184056
Malta,2003,4823500000.0,397296.0,4355078657.0,3912121762.0,4216884377.0,3773927482.0,2838231917.0,2395275022.0,4344380672.36,3901423777.36,4199054402.6,3756097507.6,2749251854.28,2306294959.28,4249899572.36,3806942677.36,4041585902.6000004,3598629007.6000004,1963409054.2800002,1520452159.2800002,10961798399.681849,9846869241.069632,10613961321.030165,9499032162.417946,7143872369.719302,6028943211.107084,10934871411.642704,9819942253.030485,10569083007.63159,9454153849.019371,6919908215.234988,5804979056.62277,10697061063.690548,9582131905.07833,10172732427.71133,9057803269.099112,4941930083.061497,3827000924.449278,12140.821956425436
Malta,2004,4910400000.0,399867.0,4427030285.0,3942764309.0,4293647525.0,3809381549.0,2962995705.0,2478729729.0,4414675295.15,3930409319.15,4273055875.25,3788789899.25,2860233567.2,2375967591.2,4323016595.15,3838750619.15,4120291375.25,3636025399.25,2097865967.1999998,1613599991.1999998,11071256905.421053,9860189285.437408,10737689094.123796,9526621474.140152,7409953071.896405,6198885451.912761,11040359157.2948,9829291537.311155,10686192847.24671,9475125227.263065,7152962277.957421,5941894657.973776,10811136190.658392,9600068570.67475,10304154569.519365,9093086949.53572,5246409349.108578,4035341729.1249332,12280.08312763994
Malta,2005,5152100000.0,402668.0,4688102565.0,4217275256.0,4562221425.0,4091394116.0,3306407195.0,2835579886.0,4676098066.83,4205270757.83,4542213928.05,4071386619.05,3206560257.84,2735732948.84,4635790666.83,4164963357.83,4475034928.05,4004207619.05,2871305057.84,2400477748.84,11642600268.70772,10473331022.082708,11329982578.700071,10160713332.07506,8211248956.957096,7041979710.332085,11612787871.968967,10443518625.343956,11280295250.802149,10111026004.17714,7963285530.114139,6794016283.489127,11512687044.488264,10343417797.863253,11113460538.33431,9944191291.7093,7130700869.798445,5961431623.173433,12794.907963880914
