country,country_name,year,variable,pollutant,pollutant_name,emissions to,environmental theme,damage,scenario,method,unit,value,reference
AL,Albania,2012,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,25193.0,"EEA, 2023"
AL,Albania,2013,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,12101.0,"EEA, 2023"
AL,Albania,2013,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,25249.0,"EEA, 2023"
AL,Albania,2014,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,12211.0,"EEA, 2023"
AL,Albania,2014,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,24998.0,"EEA, 2023"
AL,Albania,2015,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,12383.0,"EEA, 2023"
AL,Albania,2015,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,26711.0,"EEA, 2023"
AL,Albania,2016,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,12553.0,"EEA, 2023"
AL,Albania,2016,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,27098.0,"EEA, 2023"
AL,Albania,2017,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,12761.0,"EEA, 2023"
AL,Albania,2017,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,28104.0,"EEA, 2023"
AL,Albania,2018,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,12879.0,"EEA, 2023"
AL,Albania,2018,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,31826.0,"EEA, 2023"
AL,Albania,2019,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,12543.0,"EEA, 2023"
AL,Albania,2019,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,31113.0,"EEA, 2023"
AL,Albania,2020,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,13287.0,"EEA, 2023"
AL,Albania,2020,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,34193.0,"EEA, 2023"
AL,Albania,2021,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VOLY,€2021/t,13743.0,"EEA, 2023"
AL,Albania,2021,env-price,NH3,Ammonia,air,Particulate matter formation - PM2.5,Health,Central,VSL,€2021/t,38584.0,"EEA, 2023"
AL,Albania,2012,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VOLY,€2021/t,1289.0,"EEA, 2023"
AL,Albania,2012,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VSL,€2021/t,2847.0,"EEA, 2023"
AL,Albania,2013,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VOLY,€2021/t,1286.0,"EEA, 2023"
AL,Albania,2013,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VSL,€2021/t,2844.0,"EEA, 2023"
AL,Albania,2014,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VOLY,€2021/t,1303.0,"EEA, 2023"
AL,Albania,2014,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VSL,€2021/t,2901.0,"EEA, 2023"
AL,Albania,2015,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VOLY,€2021/t,1335.0,"EEA, 2023"
AL,Albania,2015,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VSL,€2021/t,3079.0,"EEA, 2023"
AL,Albania,2016,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VOLY,€2021/t,1352.0,"EEA, 2023"
AL,Albania,2016,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VSL,€2021/t,3095.0,"EEA, 2023"
AL,Albania,2017,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VOLY,€2021/t,1381.0,"EEA, 2023"
AL,Albania,2017,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VSL,€2021/t,3232.0,"EEA, 2023"
AL,Albania,2018,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VOLY,€2021/t,1393.0,"EEA, 2023"
AL,Albania,2018,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VSL,€2021/t,3331.0,"EEA, 2023"
AL,Albania,2019,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VOLY,€2021/t,1358.0,"EEA, 2023"
AL,Albania,2019,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VSL,€2021/t,3251.0,"EEA, 2023"
AL,Albania,2020,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VOLY,€2021/t,1421.0,"EEA, 2023"
AL,Albania,2020,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VSL,€2021/t,3618.0,"EEA, 2023"
AL,Albania,2021,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VOLY,€2021/t,1487.0,"EEA, 2023"
AL,Albania,2021,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,All,Central,VSL,€2021/t,3911.0,"EEA, 2023"
AL,Albania,2012,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VOLY,€2021/t,1218.0,"EEA, 2023"
AL,Albania,2012,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VSL,€2021/t,2776.0,"EEA, 2023"
AL,Albania,2013,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VOLY,€2021/t,1215.0,"EEA, 2023"
AL,Albania,2013,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VSL,€2021/t,2773.0,"EEA, 2023"
AL,Albania,2014,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VOLY,€2021/t,1232.0,"EEA, 2023"
AL,Albania,2014,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VSL,€2021/t,2830.0,"EEA, 2023"
AL,Albania,2015,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VOLY,€2021/t,1264.0,"EEA, 2023"
AL,Albania,2015,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VSL,€2021/t,3008.0,"EEA, 2023"
AL,Albania,2016,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VOLY,€2021/t,1281.0,"EEA, 2023"
AL,Albania,2016,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VSL,€2021/t,3024.0,"EEA, 2023"
AL,Albania,2017,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VOLY,€2021/t,1310.0,"EEA, 2023"
AL,Albania,2017,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VSL,€2021/t,3161.0,"EEA, 2023"
AL,Albania,2018,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VOLY,€2021/t,1322.0,"EEA, 2023"
AL,Albania,2018,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VSL,€2021/t,3260.0,"EEA, 2023"
AL,Albania,2019,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VOLY,€2021/t,1287.0,"EEA, 2023"
AL,Albania,2019,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VSL,€2021/t,3180.0,"EEA, 2023"
AL,Albania,2020,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VOLY,€2021/t,1350.0,"EEA, 2023"
AL,Albania,2020,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VSL,€2021/t,3547.0,"EEA, 2023"
AL,Albania,2021,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VOLY,€2021/t,1416.0,"EEA, 2023"
AL,Albania,2021,env-price,NMVOC,Volatile organic compounds (non-methane),air,All,Health,Central,VSL,€2021/t,3840.0,"EEA, 2023"
AL,Albania,2012,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Ecosystems - Crop yields,Central,NA,€2021/t,71.0,"EEA, 2023"
AL,Albania,2013,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Ecosystems - Crop yields,Central,NA,€2021/t,71.0,"EEA, 2023"
AL,Albania,2014,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Ecosystems - Crop yields,Central,NA,€2021/t,71.0,"EEA, 2023"
AL,Albania,2015,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Ecosystems - Crop yields,Central,NA,€2021/t,71.0,"EEA, 2023"
AL,Albania,2016,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Ecosystems - Crop yields,Central,NA,€2021/t,71.0,"EEA, 2023"
AL,Albania,2017,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Ecosystems - Crop yields,Central,NA,€2021/t,71.0,"EEA, 2023"
AL,Albania,2018,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Ecosystems - Crop yields,Central,NA,€2021/t,71.0,"EEA, 2023"
AL,Albania,2019,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Ecosystems - Crop yields,Central,NA,€2021/t,71.0,"EEA, 2023"
AL,Albania,2020,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Ecosystems - Crop yields,Central,NA,€2021/t,71.0,"EEA, 2023"
AL,Albania,2021,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Ecosystems - Crop yields,Central,NA,€2021/t,71.0,"EEA, 2023"
AL,Albania,2012,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Health,Central,NA,€2021/t,185.0,"EEA, 2023"
AL,Albania,2013,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Health,Central,NA,€2021/t,186.0,"EEA, 2023"
AL,Albania,2014,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Health,Central,NA,€2021/t,191.0,"EEA, 2023"
AL,Albania,2015,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Health,Central,NA,€2021/t,198.0,"EEA, 2023"
AL,Albania,2016,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Health,Central,NA,€2021/t,202.0,"EEA, 2023"
AL,Albania,2017,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Health,Central,NA,€2021/t,209.0,"EEA, 2023"
AL,Albania,2018,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Health,Central,NA,€2021/t,212.0,"EEA, 2023"
AL,Albania,2019,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Health,Central,NA,€2021/t,209.0,"EEA, 2023"
AL,Albania,2020,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Health,Central,NA,€2021/t,231.0,"EEA, 2023"
AL,Albania,2021,env-price,NMVOC,Volatile organic compounds (non-methane),air,Oxidant formation - O3,Health,Central,NA,€2021/t,245.0,"EEA, 2023"
